State Name,County Name,Place Name,Survey Date,Multifamily units,Multifamily valuation,Count of BPS_FINAL,Total Units,Total Value,Single family units,Units 1 Unit Rep,Units 2 Units,Units 2 Units Rep,Units 3 4 Units,Units 3 4 Units Rep,Units 5 Units,Units 5 Units Rep,Single family valuation,Value 1 Unit Rep,Value 2 Units,Value 2 Units Rep,Value 3 4 Units,Value 3 4 Units Rep,Value 5 Units,Value 5 Units Rep
California,Alameda County,Adelanto,1990,139,"6,559,564",1,377,"37,385,668",238,238,14,14,25,25,100,100,"30,826,104","30,826,104","860,664","860,664","1,274,900","1,274,900","4,424,000","4,424,000"
California,Alameda County,Adelanto,1991,112,"6,295,552",1,276,"29,971,814",164,164,10,10,39,39,63,63,"23,676,262","23,676,262","789,859","789,859","2,403,773","2,403,773","3,101,920","3,101,920"
California,Alameda County,Alameda,1990,0,0,1,89,"13,015,565",89,89,0,0,0,0,0,0,"13,015,565","13,015,565",0,0,0,0,0,0
California,Alameda County,Alameda,1991,4,"360,800",1,70,"9,911,678",66,66,4,4,0,0,0,0,"9,550,878","9,550,878","360,800","360,800",0,0,0,0
California,Alameda County,Alameda,1992,8,"550,332",1,54,"7,064,714",46,46,8,8,0,0,0,0,"6,514,382","6,514,382","550,332","550,332",0,0,0,0
California,Alameda County,Alameda,1993,0,0,1,10,"2,838,745",10,10,0,0,0,0,0,0,"2,838,745","2,838,745",0,0,0,0,0,0
California,Alameda County,Alameda,1994,4,"424,710",1,9,"1,594,865",5,5,4,4,0,0,0,0,"1,170,155","1,170,155","424,710","424,710",0,0,0,0
California,Alameda County,Alameda,1995,0,0,1,178,"32,002,552",178,178,0,0,0,0,0,0,"32,002,552","32,002,552",0,0,0,0,0,0
California,Alameda County,Alameda,1996,0,0,1,111,"24,094,498",111,111,0,0,0,0,0,0,"24,094,498","24,094,498",0,0,0,0,0,0
California,Alameda County,Alameda,1997,4,"389,692",1,206,"47,815,901",202,202,4,4,0,0,0,0,"47,426,209","47,426,209","389,692","389,692",0,0,0,0
California,Alameda County,Alameda,1998,0,0,1,51,"8,781,658",51,51,0,0,0,0,0,0,"8,781,658","8,781,658",0,0,0,0,0,0
California,Alameda County,Alameda,1999,0,0,1,62,"9,548,664",62,62,0,0,0,0,0,0,"9,548,664","9,548,664",0,0,0,0,0,0
California,Alameda County,Alameda,2000,2,"280,000",1,5,"763,429",3,3,2,2,0,0,0,0,"483,429","483,429","280,000","280,000",0,0,0,0
California,Alameda County,Alameda,2001,2,"147,448",1,32,"8,782,438",30,30,2,2,0,0,0,0,"8,634,990","8,634,990","147,448","147,448",0,0,0,0
California,Alameda County,Alameda,2002,4,"268,878",1,83,"20,411,449",79,79,4,4,0,0,0,0,"20,142,571","20,142,571","268,878","268,878",0,0,0,0
California,Alameda County,Alameda,2003,8,"577,055",1,67,"18,901,886",59,59,8,8,0,0,0,0,"18,324,831","18,324,831","577,055","577,055",0,0,0,0
California,Alameda County,Alameda,2004,0,0,1,83,"27,330,550",83,77,0,0,0,0,0,0,"27,330,550","25,467,008",0,0,0,0,0,0
California,Alameda County,Alameda,2005,2,"475,343",1,151,"50,039,448",149,149,2,2,0,0,0,0,"49,564,105","49,564,105","475,343","475,343",0,0,0,0
California,Alameda County,Alameda,2006,4,"230,000",1,116,"37,622,812",112,112,4,4,0,0,0,0,"37,392,812","37,392,812","230,000","230,000",0,0,0,0
California,Alameda County,Alameda,2007,2,"380,275",1,106,"38,690,843",104,104,2,2,0,0,0,0,"38,310,568","38,310,568","380,275","380,275",0,0,0,0
California,Alameda County,Alameda,2008,0,0,1,2,"408,143",2,2,0,0,0,0,0,0,"408,143","408,143",0,0,0,0,0,0
California,Alameda County,Alameda,2009,0,0,1,3,"879,007",3,3,0,0,0,0,0,0,"879,007","879,007",0,0,0,0,0,0
California,Alameda County,Alameda,2010,0,0,1,16,"5,984,997",16,16,0,0,0,0,0,0,"5,984,997","5,984,997",0,0,0,0,0,0
California,Alameda County,Alameda,2011,0,0,1,24,"8,201,277",24,24,0,0,0,0,0,0,"8,201,277","8,201,277",0,0,0,0,0,0
California,Alameda County,Alameda,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Alameda County,Alameda,2013,36,"8,390,000",1,37,"8,800,000",1,1,0,0,0,0,36,36,"410,000","410,000",0,0,0,0,"8,390,000","8,390,000"
California,Alameda County,Alameda,2014,52,"5,500,000",1,57,"7,795,400",5,5,0,0,0,0,52,52,"2,295,400","2,295,400",0,0,0,0,"5,500,000","5,500,000"
California,Alameda County,Alameda,2015,63,"9,798,165",1,181,"44,832,841",118,118,0,0,8,8,55,55,"35,034,676","35,034,676",0,0,"1,887,645","1,887,645","7,910,520","7,910,520"
California,Alameda County,Alameda,2016,31,"3,900,000",1,90,"19,406,677",59,59,0,0,0,0,31,31,"15,506,677","15,506,677",0,0,0,0,"3,900,000","3,900,000"
California,Alameda County,Alameda,2017,10,"1,073,028",1,56,"11,849,021",46,46,0,0,0,0,10,10,"10,775,993","10,775,993",0,0,0,0,"1,073,028","1,073,028"
California,Alameda County,Alameda,2018,0,0,1,31,"4,091,660",31,31,0,0,0,0,0,0,"4,091,660","4,091,660",0,0,0,0,0,0
California,Alameda County,Alameda,2019,622,"123,282,122",1,683,"135,046,035",61,61,0,0,0,0,622,622,"11,763,913","11,763,913",0,0,0,0,"123,282,122","123,282,122"
California,Alameda County,Alameda,2020,267,"79,699,406",1,348,"94,548,813",81,81,0,0,4,4,263,263,"14,849,407","14,849,407",0,0,"1,297,134","1,297,134","78,402,272","78,402,272"
California,Alameda County,Alameda County Unincorporated Area,1992,165,"11,186,835",1,328,"43,304,078",163,163,16,16,26,26,123,123,"32,117,243","32,117,243","1,362,940","1,362,940","2,241,320","2,241,320","7,582,575","7,582,575"
California,Alameda County,Alameda County Unincorporated Area,1993,71,"4,854,120",1,240,"33,531,775",169,169,8,8,3,3,60,60,"28,677,655","28,677,655","677,460","677,460","315,900","315,900","3,860,760","3,860,760"
California,Alameda County,Alameda County Unincorporated Area,1994,11,"977,768",1,191,"33,944,868",180,180,6,6,0,0,5,5,"32,967,100","32,967,100","696,000","696,000",0,0,"281,768","281,768"
California,Alameda County,Alameda County Unincorporated Area,1995,39,"3,500,580",1,315,"58,004,370",276,276,4,4,27,27,8,8,"54,503,790","54,503,790","325,000","325,000","2,682,230","2,682,230","493,350","493,350"
California,Alameda County,Alameda County Unincorporated Area,1996,158,"11,055,665",1,556,"79,547,923",398,398,0,0,32,32,126,126,"68,492,258","68,492,258",0,0,"2,910,980","2,910,980","8,144,685","8,144,685"
California,Alameda County,Alameda County Unincorporated Area,1997,70,"6,584,925",1,387,"74,023,045",317,317,0,0,54,54,16,16,"67,438,120","67,438,120",0,0,"5,114,205","5,114,205","1,470,720","1,470,720"
California,Alameda County,Alameda County Unincorporated Area,1998,18,"1,537,600",1,503,"108,177,821",485,485,2,2,9,9,7,7,"106,640,221","106,640,221","229,800","229,800","780,000","780,000","527,800","527,800"
California,Alameda County,Alameda County Unincorporated Area,1999,24,"1,774,465",1,"2,268","82,106,455","2,244","2,244",8,8,4,4,12,12,"80,331,990","80,331,990","546,900","546,900","183,565","183,565","1,044,000","1,044,000"
California,Alameda County,Alameda County Unincorporated Area,2000,64,"3,130,403",1,241,"49,549,437",177,177,2,2,10,10,52,52,"46,419,034","46,419,034","163,795","163,795","881,608","881,608","2,085,000","2,085,000"
California,Alameda County,Alameda County Unincorporated Area,2001,10,"1,065,890",1,138,"32,673,864",128,128,6,6,4,4,0,0,"31,607,974","31,607,974","789,770","789,770","276,120","276,120",0,0
California,Alameda County,Alameda County Unincorporated Area,2002,33,"3,930,090",1,206,"49,010,449",173,173,2,2,12,12,19,19,"45,080,359","45,080,359","269,316","269,316","1,555,927","1,555,927","2,104,847","2,104,847"
California,Alameda County,Alameda County Unincorporated Area,2003,82,"7,396,694",1,294,"58,277,927",212,212,0,0,26,26,56,56,"50,881,233","50,881,233",0,0,"3,257,253","3,257,253","4,139,441","4,139,441"
